System Properties:
Operating System:	 Microsoft Windows NT 6.2.9200.0
System User Name:	 gaozh
Machine Name:	 DESKTOP-D1BOOAD

Data properties:

Recording name:	 HZT
Recording date:	 2019/11/13
Recording time:	 9:39:19
Recording resolution:	 1280 x 1024

Export date:	 2019/11/13
Export time:	 9:50:20

Participant:	 HZT
Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ImageStart	8	0	0	6282_1.jpg	
9974	ImageEnd	16	0	0	6282_1.jpg	
10202	InstructionStart	2048	0	0	Instruction Element	
14044	KeyPress	4	32	0	Space	
14058	InstructionEnd	4096	0	0	Instruction Element	
14154	ImageStart	8	0	0	5428_2.jpg	
24090	ImageEnd	16	0	0	5428_2.jpg	
24146	InstructionStart	2048	0	0	Instruction Element	
25262	KeyPress	4	32	0	Space	
25270	InstructionEnd	4096	0	0	Instruction Element	
25360	ImageStart	8	0	0	1699_1.jpg	
35314	ImageEnd	16	0	0	1699_1.jpg	
35520	InstructionStart	2048	0	0	Instruction Element	
36682	KeyPress	4	32	0	Space	
36688	InstructionEnd	4096	0	0	Instruction Element	
36768	ImageStart	8	0	0	5273_2.jpg	
46716	ImageEnd	16	0	0	5273_2.jpg	
46931	InstructionStart	2048	0	0	Instruction Element	
48111	KeyPress	4	32	0	Space	
48127	InstructionEnd	4096	0	0	Instruction Element	
48213	ImageStart	8	0	0	3251_2.jpg	
58173	ImageEnd	16	0	0	3251_2.jpg	
58270	InstructionStart	2048	0	0	Instruction Element	
59377	KeyPress	4	32	0	Space	
59396	InstructionEnd	4096	0	0	Instruction Element	
59478	ImageStart	8	0	0	1718_3.jpg	
69438	ImageEnd	16	0	0	1718_3.jpg	
69675	InstructionStart	2048	0	0	Instruction Element	
71357	KeyPress	4	32	0	Space	
71359	InstructionEnd	4096	0	0	Instruction Element	
71456	ImageStart	8	0	0	5274_3.jpg	
81409	ImageEnd	16	0	0	5274_3.jpg	
81585	InstructionStart	2048	0	0	Instruction Element	
83083	KeyPress	4	32	0	Space	
83089	InstructionEnd	4096	0	0	Instruction Element	
83150	ImageStart	8	0	0	6065_1.jpg	
93112	ImageEnd	16	0	0	6065_1.jpg	
93291	InstructionStart	2048	0	0	Instruction Element	
95829	KeyPress	4	32	0	Space	
95845	InstructionEnd	4096	0	0	Instruction Element	
95935	ImageStart	8	0	0	2091_1.jpg	
105890	ImageEnd	16	0	0	2091_1.jpg	
106083	InstructionStart	2048	0	0	Instruction Element	
108289	KeyPress	4	32	0	Space	
108294	InstructionEnd	4096	0	0	Instruction Element	
108385	ImageStart	8	0	0	6272_3.jpg	
118328	ImageEnd	16	0	0	6272_3.jpg	
118497	InstructionStart	2048	0	0	Instruction Element	
119916	KeyPress	4	32	0	Space	
119920	InstructionEnd	4096	0	0	Instruction Element	
120008	ImageStart	8	0	0	3299_2.jpg	
129967	ImageEnd	16	0	0	3299_2.jpg	
130159	InstructionStart	2048	0	0	Instruction Element	
132661	KeyPress	4	32	0	Space	
132673	InstructionEnd	4096	0	0	Instruction Element	
132743	ImageStart	8	0	0	2345_1.jpg	
142708	ImageEnd	16	0	0	2345_1.jpg	
142908	InstructionStart	2048	0	0	Instruction Element	
144590	KeyPress	4	32	0	Space	
144598	InstructionEnd	4096	0	0	Instruction Element	
144676	ImageStart	8	0	0	1771_1.jpg	
154640	ImageEnd	16	0	0	1771_1.jpg	
154855	InstructionStart	2048	0	0	Instruction Element	
156979	KeyPress	4	32	0	Space	
156981	InstructionEnd	4096	0	0	Instruction Element	
157076	ImageStart	8	0	0	2624_2.jpg	
167012	ImageEnd	16	0	0	2624_2.jpg	
167236	InstructionStart	2048	0	0	Instruction Element	
169238	KeyPress	4	32	0	Space	
169241	InstructionEnd	4096	0	0	Instruction Element	
169312	ImageStart	8	0	0	6112_2.jpg	
179277	ImageEnd	16	0	0	6112_2.jpg	
179471	InstructionStart	2048	0	0	Instruction Element	
182225	KeyPress	4	32	0	Space	
182232	InstructionEnd	4096	0	0	Instruction Element	
182302	ImageStart	8	0	0	5535_1.jpg	
192264	ImageEnd	16	0	0	5535_1.jpg	
192439	InstructionStart	2048	0	0	Instruction Element	
193828	KeyPress	4	32	0	Space	
193839	InstructionEnd	4096	0	0	Instruction Element	
193913	ImageStart	8	0	0	3537_3.jpg	
203880	ImageEnd	16	0	0	3537_3.jpg	
204024	InstructionStart	2048	0	0	Instruction Element	
205713	KeyPress	4	32	0	Space	
205719	InstructionEnd	4096	0	0	Instruction Element	
205807	ImageStart	8	0	0	6147_3.jpg	
215753	ImageEnd	16	0	0	6147_3.jpg	
216080	InstructionStart	2048	0	0	Instruction Element	
218098	KeyPress	4	32	0	Space	
218110	InstructionEnd	4096	0	0	Instruction Element	
218182	ImageStart	8	0	0	5586_2.jpg	
