Data properties:

Recording date: 2019/11/13
Recording time: 09:50:55:000 (corresponds to time 0)
Study: Test2
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	47	75	170	526	
2	272	75	467	346	
3	347	58	476	502	
4	405	217	732	461	
5	622	200	1136	570	
6	822	75	1180	940	
7	897	58	1140	985	
8	955	91	1215	924	
9	1047	117	1159	789	
10	1163	283	1138	614	
11	1446	167	1210	812	
12	1613	58	1173	880	
13	1671	266	1159	918	
14	1938	200	1122	886	
15	2138	258	475	878	
16	2662	258	993	553	
17	2920	200	1152	637	
18	3120	233	498	366	
19	3353	92	534	353	
20	3445	225	992	930	
21	3670	458	1137	904	
22	4128	308	1111	582	
23	4436	475	1158	642	
24	4911	158	1184	859	
25	5069	341	790	438	
26	5410	225	886	544	
27	5635	458	436	314	
28	6093	75	1071	843	
29	6168	50	1015	884	
30	6218	125	1049	842	
31	6343	67	1083	815	
32	6410	75	1050	848	
33	6734	42	965	515	
34	6776	108	964	581	
35	6884	158	1134	670	
36	7043	208	1147	618	
37	7251	92	34	627	
38	7342	525	60	668	
39	7867	208	1056	630	
40	8075	266	1168	633	
41	8342	258	1201	906	
42	8600	175	1051	769	
43	8775	450	1083	574	
44	9224	75	829	623	
45	9299	75	785	680	
46	9374	117	826	629	
47	9766	108	876	565	
48	9874	167	905	503	
49	10041	75	929	475	
50	10115	258	1135	852	
51	10374	50	1108	878	
52	10424	183	1122	841	
53	10607	841	661	610	
54	11448	167	879	474	
55	11614	266	448	177	
56	11881	158	683	229	
57	12039	208	844	486	
58	12247	475	1143	594	
59	12722	258	1171	937	
60	12980	291	1164	879	
61	13272	325	1135	592	
62	13904	108	889	921	
63	14013	75	1170	731	
64	14088	92	1135	751	
65	14179	225	1144	596	
66	14404	600	493	187	
67	15004	408	249	124	
68	15412	300	694	193	
69	15712	333	758	377	
70	16045	242	753	437	
71	16286	58	752	923	
72	16344	108	739	970	
73	16453	841	771	858	
74	17294	167	833	887	
75	17460	58	792	875	
76	17519	142	831	827	
77	17660	50	795	886	
78	17710	366	1096	892	
79	18077	550	1116	578	
80	18626	258	1181	914	
81	18884	83	1215	894	
82	18968	166	1156	874	
83	19134	167	716	792	
84	19301	150	1110	727	
85	19451	241	1197	967	
86	19692	341	552	857	
87	20034	300	236	839	
88	20333	291	982	496	
89	20625	50	1005	449	
90	20675	166	1165	660	
91	20841	366	1170	898	
92	21208	383	725	827	
93	21941	183	1147	473	
94	22124	200	1192	42	
95	22324	408	1254	-1	
96	22732	516	773	355	
97	23248	175	476	372	
98	23423	75	1024	275	
99	23498	108	1066	230	
100	23606	141	1175	757	
101	23748	58	1135	784	
102	23806	425	1150	844	
103	24231	308	1158	158	
104	24539	250	909	187	
105	24789	167	1159	157	
106	24955	192	1146	924	
107	25147	83	1073	915	
108	25230	375	600	790	
109	25605	366	644	848	
110	25971	50	1328	1268	
111	26613	75	827	1092	
112	26687	133	902	1177	
113	27004	233	667	1235	
114	27237	92	650	1033	
115	27454	67	718	1115	
116	27520	100	761	1277	
117	27878	58	767	1117	
118	28136	83	822	298	
119	28220	183	1136	213	
120	28403	2024	1150	149	
121	30427	258	1206	894	
122	30685	67	1162	824	
123	30751	67	1200	809	
124	30818	58	1150	809	
125	30876	683	1181	840	
126	31676	891	1163	134	
127	32567	208	744	237	
128	32775	183	461	477	
129	32958	116	447	941	
130	33075	117	472	904	
131	33191	167	459	960	
132	33358	50	508	923	
133	33408	83	878	810	
134	34024	91	1056	612	
135	34116	50	1087	568	
136	34440	150	889	301	
137	34590	183	1252	80	
138	34774	325	1277	-24	
139	35098	233	978	376	
140	35332	175	801	495	
141	35506	166	1018	825	
142	35673	92	989	851	
143	35765	283	539	915	
144	36048	241	359	496	
145	36289	100	804	494	
146	36389	92	789	551	
147	36481	67	827	595	
148	36547	125	827	662	
149	36672	167	887	846	
150	36839	300	880	797	
151	37139	125	869	837	
152	37263	300	835	606	
153	37563	67	850	490	
154	37630	150	841	633	
155	37780	142	891	838	
156	37921	166	867	864	
157	38088	92	856	797	
158	38180	67	902	711	
159	38246	50	879	771	
160	38296	275	839	593	
161	38571	208	860	545	
162	38779	83	930	808	
163	38862	50	899	843	
164	38912	58	934	821	
165	38971	50	859	844	
166	39021	191	875	806	
167	39212	142	857	841	
168	39354	58	874	619	
169	39412	142	849	518	
170	39554	275	1149	755	
171	39828	250	1135	165	
172	40078	450	1162	106	
173	40528	92	1288	761	
174	40620	100	1236	807	
175	40720	167	1184	803	
176	40886	58	1183	746	
177	40944	325	1177	817	
178	41269	50	1180	672	
179	41511	333	1068	228	
180	41844	550	1160	138	
181	42393	425	928	476	
182	42818	133	1091	854	
183	42951	50	1151	792	
184	43001	400	1096	846	
185	43401	50	1123	823	
186	43759	83	966	516	
187	43842	275	895	468	
188	44117	241	1062	848	
189	44359	108	1064	935	
190	44467	150	1054	863	
191	44617	191	959	1078	
192	44808	366	1079	421	
193	45175	142	1134	198	
194	45441	50	1264	-97	
195	45491	466	1248	4	
196	45958	183	1206	23	
197	46141	425	1274	10	
198	46774	133	788	221	
199	46907	108	759	250	
200	47015	175	1120	587	
201	47190	50	1160	567	
202	47240	308	1207	916	
203	47548	208	1167	834	
204	47756	325	1156	472	
205	48081	158	1156	509	
206	48239	516	666	282	
207	48756	316	797	188	
208	49072	291	464	353	
209	49364	183	226	377	
210	49547	50	230	424	
211	49597	108	232	383	
212	49705	441	750	356	
213	50146	266	1141	553	
214	50413	75	1230	874	
215	50488	175	1200	917	
216	50663	583	1177	857	
217	51246	291	1062	929	
218	51537	258	1184	873	
219	51795	291	1162	505	
220	52087	233	796	329	
221	52320	250	1181	559	
222	52570	200	1195	963	
223	52770	167	1166	881	
224	52936	142	784	848	
225	53078	117	749	891	
226	53194	141	775	866	
227	53336	341	1036	486	
228	53677	150	619	869	
229	53827	50	594	922	
230	53877	83	604	878	
231	53960	117	322	918	
232	54077	50	277	811	
233	54127	50	319	822	
234	54177	258	417	371	
235	54435	308	880	318	
236	54743	208	311	360	
237	54951	158	163	477	
238	55110	291	193	570	
239	55401	358	174	452	
240	55759	566	1174	501	
241	56326	250	191	467	
242	56575	50	164	399	
243	56625	216	169	491	
244	56842	100	818	485	
245	57200	150	993	259	
246	57350	192	1224	42	
247	57541	333	1265	-22	
248	57875	500	1216	-1	
249	58374	250	759	326	
250	58624	183	978	432	
251	58807	216	1169	241	
252	59024	266	209	228	
253	59290	241	194	269	
254	59757	166	847	255	
255	59923	300	1177	228	
256	60223	233	300	265	
257	60456	716	172	284	
258	61172	466	399	220	
259	61639	283	328	170	
260	61922	208	1127	232	
261	62130	633	1170	252	
262	62763	225	1112	900	
263	62988	458	1176	818	
264	63446	241	1176	314	
265	63687	333	1161	220	
266	64020	217	1145	274	
267	64237	325	1103	418	
268	64562	283	1151	872	
269	64845	200	1160	794	
270	65044	566	718	400	
271	65611	208	1063	326	
272	65819	291	386	173	
273	66110	466	201	262	
274	66577	408	1162	252	
275	66985	83	1119	387	
276	67068	133	1103	574	
277	67201	433	1174	810	
278	67634	50	1189	767	
279	67684	83	1144	801	
280	67768	58	1131	234	
281	67826	75	1122	357	
282	68092	350	1156	307	
283	68442	142	1142	110	
284	68759	175	1284	43	
285	68934	1066	1278	-7	
286	70000	325	1220	-6	
287	70324	191	943	341	
288	70516	133	1078	482	
289	70649	192	1213	1044	
290	70841	400	1187	923	
291	71240	308	1173	579	
292	71548	166	1148	608	
293	71715	250	1188	684	
294	71965	208	1170	754	
295	72173	266	1148	962	
296	72439	291	1127	932	
297	72731	383	1162	918	
298	73114	67	1157	552	
299	73181	58	1161	478	
300	73239	208	1138	548	
301	73447	358	822	293	
302	73805	166	1118	762	
303	73972	158	1164	1032	
304	74130	300	1138	924	
305	74430	616	1132	569	
306	75046	291	1186	928	
307	75338	491	800	864	
308	75829	158	1068	434	
309	75987	125	1050	466	
310	76112	383	733	247	
311	76495	50	734	309	
312	76545	75	728	261	
313	76620	300	978	334	
314	76920	92	645	305	
315	77011	50	625	267	
316	77061	117	649	313	
317	77178	233	1020	989	
318	77411	67	1102	926	
319	77478	50	1160	863	
320	77528	208	1102	923	
321	77736	525	1128	539	
322	78261	266	1159	619	
323	78527	375	1042	963	
324	78902	175	1103	649	
325	79077	375	1157	591	
326	79451	333	953	305	
327	79784	233	704	227	
328	80018	333	453	255	
329	80909	58	1068	662	
330	80967	100	1188	1036	
331	81067	92	1202	1071	
332	81492	67	1054	801	
333	81558	67	956	388	
