Data properties:

Recording date: 2019/11/13
Recording time: 11:06:06:000 (corresponds to time 0)
Study: Test1
Subject: HMH
Recording: HMH
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	501	333	597	413	
2	834	258	388	417	
3	1092	208	640	342	
4	1300	616	644	306	
5	2233	100	593	294	
6	2333	50	588	232	
7	2383	550	567	336	
8	2933	67	563	298	
9	2999	125	585	336	
10	3124	67	573	280	
11	3191	150	765	283	
12	3341	458	1010	162	
13	3799	258	860	186	
14	4057	458	1111	164	
15	4515	266	888	219	
16	4781	200	736	251	
17	4981	92	588	303	
18	5073	75	606	268	
19	5148	183	593	307	
20	5331	258	391	427	
21	5589	242	256	447	
22	5831	208	677	331	
23	6039	233	732	291	
24	6272	67	742	241	
25	6339	133	729	280	
26	6472	366	985	132	
27	6838	200	1039	144	
28	7038	416	1133	162	
29	7454	416	1067	435	
30	7871	83	862	859	
31	7954	58	825	875	
32	8012	175	911	890	
33	8187	125	893	839	
34	8312	358	451	888	
35	8670	250	890	803	
36	8920	325	943	795	
37	9245	58	981	775	
38	9303	92	946	793	
39	9395	58	979	757	
40	9453	192	942	794	
41	9645	291	957	272	
42	9936	283	739	859	
43	10219	100	780	869	
44	10319	75	712	861	
45	10394	241	719	447	
46	10636	724	642	311	
47	11360	67	637	351	
48	11427	208	648	300	
49	11635	258	709	274	
50	11893	883	735	242	
51	12776	67	702	317	
52	12842	2307	720	244	
53	15149	142	708	319	
54	15291	1158	736	243	
55	16448	258	599	294	
56	16706	275	1047	179	
57	16981	175	937	125	
58	17156	291	981	89	
59	17448	166	1077	141	
60	17614	658	1141	189	
61	18272	400	959	103	
62	18672	191	904	285	
63	18863	183	953	681	
64	19047	216	957	790	
65	19263	108	1049	809	
66	19371	316	536	898	
67	19688	141	560	850	
68	19829	117	961	806	
69	19946	83	1010	747	
70	20029	67	974	813	
71	20096	192	1088	808	
72	20287	575	718	800	
73	20862	75	734	713	
74	20937	283	714	790	
75	21220	225	1083	797	
76	21445	142	1126	753	
77	21586	2090	1041	145	
78	23677	192	824	195	
79	23868	366	612	298	
80	24235	50	587	236	
81	24285	92	609	320	
82	24376	508	645	273	
83	24884	75	639	219	
84	24959	125	641	285	
85	25084	50	646	225	
86	25134	167	646	281	
87	25301	75	654	210	
88	25375	225	641	276	
89	25600	50	637	228	
90	25650	633	642	269	
91	26283	450	714	283	
92	26733	75	729	224	
93	26808	733	715	272	
94	27541	83	515	331	
95	27624	92	506	296	
96	27716	250	254	261	
97	27965	225	219	247	
98	28190	175	760	249	
99	28365	283	930	241	
100	28648	300	1019	390	
101	28948	92	1036	444	
102	29040	67	1043	403	
103	29106	58	1049	357	
104	29164	133	1019	397	
105	29298	416	843	403	
106	29714	375	1026	415	
107	30089	783	1033	345	
108	30872	525	1049	405	
109	31396	966	822	387	
110	32362	241	954	422	
111	32604	150	1041	436	
112	32754	250	809	787	
113	33004	300	624	831	
114	33303	50	584	846	
115	33353	125	621	828	
116	33478	275	1008	830	
117	33753	466	1056	836	
118	34219	50	1040	872	
119	34269	241	1056	834	
120	34511	133	1050	452	
121	34644	50	1058	408	
122	34694	117	1039	441	
123	34811	533	1004	358	
124	35344	158	464	339	
125	35502	142	291	285	
126	35643	566	216	201	
127	36210	633	947	243	
128	36843	674	774	279	
129	37517	117	684	323	
130	37634	58	684	250	
131	37692	200	694	320	
132	38142	67	697	261	
133	38208	608	675	344	
134	38816	350	711	323	
135	39166	158	885	355	
136	39324	216	430	151	
137	39541	741	470	91	
138	40282	108	563	146	
139	40390	83	577	193	
140	40473	167	798	321	
141	40640	91	813	288	
142	40732	83	802	337	
143	40815	108	911	386	
144	40923	58	948	354	
145	40981	158	915	394	
146	41140	191	1040	518	
147	41331	750	1115	606	
148	42081	50	1161	571	
149	42131	283	1122	597	
150	42414	225	1170	310	
151	42639	383	692	237	
152	43022	183	1106	769	
153	43205	166	1083	878	
154	43371	58	570	863	
155	43430	58	573	817	
156	43488	175	539	861	
157	43663	575	389	829	
158	44237	683	1067	863	
159	44920	183	1132	653	
160	45104	175	1118	587	
161	45278	266	908	321	
162	45545	275	742	286	
163	45820	325	726	244	
164	46145	58	724	203	
165	46203	58	714	251	
166	46261	241	860	345	
167	47061	533	648	326	
168	47752	191	580	400	
169	47943	325	903	436	
170	48268	500	642	384	
171	48768	475	632	334	
172	49242	808	560	394	
173	50050	200	761	307	
174	50250	217	936	156	
175	50467	175	651	223	
176	50641	158	1054	126	
177	50800	716	1138	93	
178	51516	666	879	118	
179	52182	125	853	144	
180	52307	1291	1146	81	
181	53598	150	1117	132	
182	53748	225	902	557	
183	53973	200	941	889	
184	54172	358	535	862	
185	54531	50	563	825	
186	54581	50	519	876	
187	54631	116	559	844	
188	54747	75	1075	823	
189	54822	92	1026	836	
190	54914	67	1084	754	
191	54980	408	1074	841	
192	55388	175	575	645	
193	55563	125	579	590	
194	55688	341	468	498	
195	56029	75	760	299	
196	56104	192	780	263	
197	56296	200	1065	126	
198	56496	483	1120	99	
199	56979	608	880	143	
200	57587	83	866	93	
201	57670	591	852	143	
202	58261	58	862	93	
203	58320	1499	849	144	
204	59819	466	682	250	
205	60285	866	720	277	
206	61151	233	887	247	
207	61384	100	648	193	
208	61484	183	709	198	
209	61667	233	342	223	
210	61901	258	929	234	
211	62159	358	1045	243	
212	62625	841	1105	276	
213	63466	58	738	266	
214	63524	67	752	217	
215	63591	117	740	257	
216	63707	75	592	240	
217	63782	200	595	203	
218	63982	191	937	294	
219	64174	200	1070	454	
220	64374	183	1049	672	
221	64557	100	998	794	
222	64657	167	1039	814	
223	64823	158	587	826	
224	64982	333	546	840	
225	65315	150	723	411	
226	65465	175	604	179	
227	65639	341	631	107	
228	65981	158	587	877	
229	66139	167	613	835	
230	66306	83	810	845	
231	66389	67	780	887	
232	66456	216	786	464	
233	66672	167	765	495	
234	66839	241	774	788	
235	67080	100	778	868	
236	67180	50	835	895	
237	67230	250	794	869	
238	67480	158	1044	827	
239	67638	83	1065	716	
240	67721	200	851	401	
241	67921	1016	1094	279	
242	68937	533	1057	826	
243	69470	241	1074	793	
244	69712	416	1079	295	
245	70128	225	689	287	
246	70353	75	688	248	
247	70428	75	687	296	
248	70644	216	755	297	
249	70861	325	1086	270	
250	71186	1824	737	319	
251	73009	225	463	176	
252	73234	217	509	181	
253	73451	75	905	300	
254	73526	108	894	346	
255	73634	50	854	318	
256	73684	325	866	386	
257	74009	225	1041	513	
258	74234	217	1067	549	
259	74450	758	1110	617	
260	75208	150	863	752	
261	75358	142	847	824	
262	75499	183	1081	882	
263	75683	108	461	891	
264	75791	133	456	856	
265	75924	183	378	882	
266	76107	275	364	839	
267	76382	158	457	289	
268	76540	200	459	143	
269	76740	225	437	104	
270	76965	183	486	760	
271	77148	200	662	832	
272	77348	141	1067	881	
273	77640	175	1131	855	
274	77814	250	1123	600	
275	78064	283	920	480	
276	78347	341	733	329	
277	78689	58	738	265	
278	78747	1724	738	335	
279	80471	50	741	296	
280	80521	366	745	332	
281	81054	258	717	297	
282	81503	691	617	276	
283	82195	183	751	309	
284	82611	50	700	233	
285	82961	150	689	297	
286	83111	125	544	347	
287	83236	67	545	304	
288	83302	175	547	348	
289	83477	475	654	376	
290	83952	183	494	334	
291	84135	624	366	195	
292	84760	258	566	209	
293	85018	250	648	295	
294	85268	233	990	421	
295	85501	208	980	470	
296	85709	450	854	510	
297	86159	266	1045	472	
298	86425	275	1108	431	
299	86700	158	1068	766	
300	86858	366	1074	848	
301	87225	192	1062	442	
302	87416	433	1117	420	
303	87849	100	810	305	
304	87949	108	809	343	
305	88057	233	669	202	
306	88290	200	1145	356	
307	88490	641	1111	427	
308	89132	58	589	314	
309	89190	50	597	220	
310	89240	158	592	294	
311	89506	75	698	427	
312	89581	350	491	856	
313	89931	200	322	568	
314	90131	241	308	258	
315	90372	192	395	897	
316	90564	92	418	846	
317	90656	291	564	871	
318	90947	291	1022	889	
319	91238	125	1071	877	
320	91363	225	441	854	
321	91588	108	295	864	
322	91697	75	279	794	
323	91771	92	289	831	
324	91863	191	693	643	
325	92055	266	772	539	
326	92321	100	569	318	
327	92421	50	566	235	
328	92471	325	571	285	
329	92796	50	578	232	
330	92846	266	570	288	
331	93112	67	585	240	
332	93179	441	589	285	
333	93970	191	538	297	
334	94161	375	612	367	
335	94536	741	520	349	
336	95277	183	524	310	
337	95461	225	1018	334	
338	95685	216	263	344	
339	95902	58	264	385	
340	95960	192	273	345	
341	96152	108	295	399	
342	96260	92	355	451	
343	96352	75	355	493	
344	96427	100	361	446	
345	96527	183	319	461	
346	96710	266	525	232	
347	96976	217	673	201	
348	97193	425	770	104	
349	97617	250	927	167	
350	97867	133	1063	317	
351	98000	67	1060	355	
352	98067	258	1102	372	
353	98325	275	1104	412	
354	98600	316	1050	518	
355	98917	450	879	372	
356	99366	233	807	754	
357	99599	208	764	821	
358	99808	116	422	904	
359	99924	58	438	858	
360	99982	83	422	899	
361	100066	483	475	882	
362	100549	300	938	832	
363	100849	375	1108	797	
364	101223	350	1125	761	
365	101573	225	1114	433	
366	101798	816	1128	374	
367	102614	500	838	251	
368	103114	125	858	282	
369	103239	191	887	214	
370	103430	167	850	226	
371	103597	1049	1124	318	
372	104771	42	1154	363	
373	104812	67	1127	275	
374	104879	466	1116	321	
375	105345	92	754	340	
376	105437	1382	781	305	
377	106819	58	798	246	
378	106878	758	781	288	
379	107636	233	611	342	
380	107869	283	655	334	
381	108152	416	441	454	
382	108568	92	629	412	
383	108660	158	641	363	
384	108818	216	734	250	
385	109034	217	843	217	
386	109251	292	1072	121	
387	109543	258	1108	125	
388	109801	408	1049	159	
389	110209	591	1130	151	
390	110800	275	1091	128	
391	111075	258	699	424	
392	111333	316	467	511	
393	111650	58	1097	725	
394	111708	83	1042	789	
395	111791	83	1079	754	
396	111874	125	1041	781	
397	111999	258	577	508	
398	112257	258	688	838	
399	112515	308	794	832	
400	112824	400	351	928	
401	113223	266	707	534	
402	113490	333	853	309	
403	113823	83	572	363	
404	113906	50	582	314	
405	113956	591	577	355	
406	114856	175	577	360	
407	115030	1457	628	371	
408	116488	266	681	319	
409	116754	50	691	241	
410	116804	133	691	319	
