Data properties:				
Recording date: 2021/10/3				
Recording time: 16:50:57:000 (corresponds to time 0)				
Study: Test2				
Subject: P16				
Recording: Rec 12				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
0	16	250	565	560
1	265	183	657	487
2	449	233	259	193
3	682	283	169	90
4	965	283	282	171
5	1248	283	798	486
6	1531	183	1063	581
7	1714	216	1106	624
8	1931	250	746	489
9	2181	316	465	335
10	2647	117	717	855
11	2763	300	334	255
12	3063	416	249	158
13	3479	217	374	832
14	3696	216	898	885
15	3912	466	318	211
16	4379	250	520	358
17	4778	400	310	194
18	5178	234	637	450
19	5412	383	897	515
20	5795	200	718	496
21	5995	166	426	308
22	6345	167	353	273
23	6511	266	683	408
24	6778	200	1032	587
25	6978	200	1082	620
26	7178	150	340	297
27	7327	200	289	219
28	7661	183	379	216
29	7844	400	618	444
30	8243	267	290	844
31	8510	266	1124	838
32	8777	200	1077	883
33	8976	366	1052	593
34	9343	266	879	874
35	9842	83	457	385
36	9926	317	267	904
37	10242	550	542	523
38	10792	250	363	466
39	11042	633	439	540
40	11891	200	411	539
41	12091	217	117	568
42	12308	1033	566	556
43	13340	466	396	840
44	13807	300	635	568
45	14106	416	488	555
46	14523	683	830	561
47	15206	217	539	558
48	15689	133	370	457
49	15822	433	649	560
50	16255	116	558	385
51	16371	216	475	175
52	16588	333	241	118
53	16921	416	625	197
54	17338	250	693	313
55	17587	316	773	446
56	17904	150	1025	602
57	18054	333	708	849
58	18387	150	822	808
59	18537	183	1114	873
60	18720	133	1051	549
61	18853	283	738	413
62	19136	133	709	339
63	19569	267	763	452
64	19836	266	731	376
65	20102	233	773	490
66	20336	1465	773	450
67	22017	150	1132	613
68	22167	366	1122	573
69	22534	350	730	476
70	22884	200	767	463
71	23083	400	1087	584
72	23483	283	712	412
73	24033	83	584	350
74	24116	250	423	233
75	24366	200	828	693
76	24566	616	665	344
77	25415	116	518	556
78	25531	233	372	770
79	25765	599	682	329
80	26364	183	577	418
81	26548	283	709	512
82	26831	233	642	327
83	27064	200	262	487
84	27264	200	1032	156
85	27463	450	1142	115
86	27913	266	820	214
87	28180	416	1003	161
88	28596	167	817	237
89	28929	233	724	877
90	29162	183	993	880
91	29346	400	669	330
92	29745	766	340	516
93	30511	1083	202	570
94	31594	166	558	475
95	31761	233	803	274
96	31994	300	821	202
97	32526	366	660	282
98	32893	283	571	303
99	33176	266	931	220
100	33443	117	1080	158
101	33559	550	1133	128
102	34109	266	509	259
103	34375	183	477	375
104	34558	233	904	207
105	34792	200	1048	173
106	34992	400	737	791
107	35391	583	948	850
108	35974	283	661	351
109	36257	333	605	300
110	36590	100	584	234
111	36840	133	576	306
112	36974	333	607	484
113	37307	366	581	278
114	37673	150	516	416
115	37823	316	1000	275
116	38139	383	779	518
117	38522	250	365	470
118	38772	167	375	434
119	38939	383	618	473
120	39322	366	373	468
121	39688	300	766	476
122	39988	300	766	606
123	40288	233	734	815
124	40521	216	789	597
125	40737	400	905	371
126	41137	200	839	519
127	41337	333	1010	299
128	41670	250	910	739
129	41920	333	467	486
130	42253	266	563	445
131	42636	216	718	549
132	42852	333	775	618
133	43185	150	724	861
134	43335	100	723	701
135	43751	117	800	498
136	43868	300	880	503
137	44168	383	965	319
138	44551	833	1098	145
139	45384	283	994	330
140	45667	117	1044	780
141	45783	100	994	797
142	46116	366	999	269
143	46483	366	1115	121
144	46849	233	306	469
145	47083	250	351	375
146	47332	183	789	433
147	47682	150	671	513
148	47832	616	459	531
149	48448	266	759	538
150	48715	416	685	372
151	49131	183	793	223
152	49314	416	994	371
153	49731	266	829	263
154	49997	300	878	920
155	50297	333	959	390
156	50630	400	873	258
157	51030	300	1028	478
158	51329	317	842	878
159	51879	283	827	241
160	52162	316	504	305
161	52479	233	1131	566
162	52712	300	1000	906
163	53012	183	762	895
164	53494	83	829	388
165	53578	333	992	467
166	53911	400	1067	595
167	54311	300	1128	496
168	54844	83	984	785
169	54927	167	1043	923
170	55094	200	1098	915
171	55293	300	241	467
172	55593	233	344	290
173	55826	233	758	278
174	56059	316	346	392
175	56376	416	300	320
176	56792	283	363	566
177	57075	383	382	903
178	57458	683	604	463
179	58141	183	430	420
180	58324	216	427	361
181	58541	216	289	364
182	58757	217	573	393
183	58974	233	623	475
184	59207	183	518	517
185	59390	333	579	350
186	59723	133	412	249
187	59857	383	1096	347
188	60240	316	1142	268
189	60556	233	1047	433
190	60789	183	1075	400
191	60973	233	1119	335
192	61356	183	1113	331
193	61539	300	931	507
194	61839	183	1015	435
195	62022	266	508	327
196	62288	216	693	501
197	62505	183	1015	574
198	62688	167	1027	864
199	62855	266	1109	876
200	63121	333	1150	308
201	63454	200	1116	326
202	63904	83	347	285
203	63987	200	440	403
204	64187	166	434	196
205	64353	350	535	352
206	64703	217	1074	464
207	64920	150	1029	453
208	65302	233	992	879
209	65536	266	626	922
210	65802	167	759	874
211	65969	200	780	573
212	66169	450	743	612
213	66619	266	708	936
214	66885	533	774	607
215	67418	466	1083	410
216	67884	283	917	574
217	68167	150	1005	862
218	68317	183	1122	829
219	68750	150	1089	324
220	68900	283	504	313
221	69183	250	681	882
222	69433	216	402	873
223	69650	300	616	561
224	70599	133	553	582
225	70732	433	537	516
226	71165	316	649	241
227	71481	183	1046	376
228	71665	366	1098	538
229	72031	283	1080	906
230	72314	250	1017	428
231	72764	183	550	367
232	72947	283	1100	549
233	73230	300	1042	941
234	73530	449	1096	520
235	73980	333	1123	609
236	74313	383	733	447
237	74696	250	555	311
238	74946	300	262	513
239	75245	316	1091	569
240	75562	450	371	856
241	76012	333	410	904
242	76345	350	354	412
243	76694	383	584	496
244	77078	283	121	653
245	77361	300	310	879
246	77660	400	613	488
247	78593	117	651	434
248	78710	333	578	358
249	79043	200	328	415
250	79242	100	463	255
251	79342	133	463	217
252	79476	233	569	178
253	79709	233	828	273
254	79942	150	1175	8
255	80092	216	1258	-88
256	80308	301	522	291
257	80610	233	616	279
258	80843	566	707	230
259	81409	733	631	441
260	82142	266	391	273
261	82408	233	958	509
262	82642	366	402	264
263	83008	350	254	268
264	83358	400	561	229
265	83757	300	671	241
