Data properties:

Recording date: 2021/9/22
Recording time: 17:07:15:000 (corresponds to time 0)
Study: Test2
Subject: P10
Recording: Rec 06
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
0	235	84	358	460	
1	319	216	635	375	
2	536	150	363	271	
3	686	216	212	145	
4	902	333	182	98	
5	1235	300	302	189	
6	1535	333	191	124	
7	1868	616	242	867	
8	2484	150	373	824	
9	2634	266	472	884	
10	2901	166	497	441	
11	3067	416	532	363	
12	3484	333	441	297	
13	3817	183	514	524	
14	4000	183	553	453	
15	4183	216	607	404	
16	4399	300	520	924	
17	4699	133	473	909	
18	4832	250	512	316	
19	5082	133	469	323	
20	5215	233	740	482	
21	5449	251	717	880	
22	5700	117	679	914	
23	5817	183	847	928	
24	6000	516	833	541	
25	6516	200	1096	570	
26	6716	217	950	484	
27	6933	133	913	486	
28	7332	83	882	835	
29	7416	317	913	905	
30	7732	316	1034	900	
31	8049	300	1061	509	
32	8348	550	1139	658	
33	8898	150	1114	744	
34	9048	500	1112	932	
35	9548	300	858	895	
36	10031	83	730	894	
37	10114	167	390	865	
38	11231	183	-735	-18	
39	11813	217	720	170	
40	13212	17	687	493	
41	13579	133	537	391	
42	13712	150	531	223	
43	13862	317	269	126	
44	14179	300	440	873	
45	14479	183	312	862	
46	14662	183	238	832	
47	14845	383	272	130	
48	15228	133	242	101	
49	15361	181	363	913	
50	15543	233	405	852	
51	15776	167	807	883	
52	15943	300	571	919	
53	16242	233	628	269	
54	16475	117	605	204	
55	16592	550	459	131	
56	17142	416	709	332	
57	17558	183	639	857	
58	17741	167	613	912	
59	17908	350	456	903	
60	18258	183	571	298	
61	18441	316	492	117	
62	18757	216	441	91	
63	18974	200	525	139	
64	19174	400	663	195	
65	19573	167	539	769	
66	19740	250	492	917	
67	19990	233	393	862	
68	20223	166	456	120	
69	20389	333	366	77	
70	20723	333	661	828	
71	21056	300	695	286	
72	21355	366	748	423	
73	21722	200	751	865	
74	21922	200	790	905	
75	22122	200	820	871	
76	22322	216	878	553	
77	22538	216	854	507	
78	22754	133	1091	609	
79	22888	150	1124	593	
80	23221	100	995	886	
81	23321	150	976	917	
82	23471	433	1049	949	
83	25386	133	-739	190	
84	25519	283	236	158	
85	25802	200	647	408	
86	26768	350	524	413	
87	27118	250	237	542	
88	27368	233	348	870	
89	27601	217	257	933	
90	27817	250	221	568	
91	28067	300	353	494	
92	28367	366	408	870	
93	28734	250	421	917	
94	28983	200	398	1027	
95	29183	200	560	992	
96	29383	133	596	777	
97	29516	450	559	356	
98	29966	250	553	867	
99	30216	266	727	882	
100	30482	266	986	909	
101	30749	167	1116	865	
102	30915	200	1098	164	
103	31115	266	1147	66	
104	31382	483	1190	78	
105	31865	316	1134	79	
106	32181	233	1004	94	
107	32414	266	1128	50	
108	32681	183	1182	45	
109	32864	233	1134	23	
110	33097	483	1203	54	
111	33580	1432	1125	47	
112	35013	300	1227	46	
113	35462	133	985	60	
114	35595	350	909	144	
115	35945	400	1183	60	
116	36345	300	1127	38	
117	36645	167	986	81	
118	36811	266	822	148	
119	37927	266	-701	1308	
120	38194	334	-958	1139	
121	38527	283	-1092	870	
122	39410	150	220	1304	
123	39743	133	461	980	
124	40725	183	883	475	
125	40908	250	652	342	
126	41158	233	367	376	
127	41391	333	245	457	
128	41724	283	748	540	
129	42008	250	527	451	
130	42257	150	435	442	
131	42407	400	440	936	
132	42807	150	642	902	
133	42957	283	692	518	
134	43240	217	764	573	
135	43457	150	446	844	
136	43606	200	290	934	
137	43806	133	231	912	
138	43940	366	276	395	
139	44306	250	230	482	
140	44556	233	239	963	
141	44789	200	407	935	
142	44989	183	600	968	
143	45172	250	747	963	
144	45422	266	765	614	
145	45688	233	712	581	
146	45921	233	833	879	
147	46155	167	799	928	
148	46321	216	849	882	
149	46538	316	856	598	
150	46854	183	882	544	
151	47037	167	907	482	
152	47204	383	872	941	
153	47587	283	971	988	
154	47870	200	1042	281	
155	48070	200	1147	125	
156	48270	433	1198	63	
157	48703	216	1107	232	
158	48919	566	1077	861	
159	49486	350	1141	859	
160	49835	200	1199	118	
161	50035	250	1202	48	
162	50285	250	1097	822	
163	50535	316	1113	859	
164	50851	400	916	888	
165	52300	83	618	323	
166	52384	117	716	551	
167	53283	183	477	348	
168	53466	200	215	356	
169	53666	167	189	436	
170	53832	250	286	866	
171	54082	283	224	875	
172	54365	300	253	341	
173	54665	266	386	307	
174	54932	217	420	1016	
175	55148	266	461	934	
176	55415	183	509	975	
177	55598	233	590	946	
178	55831	250	583	354	
179	56081	150	513	329	
180	56231	300	631	268	
181	56531	233	438	263	
182	56764	133	568	266	
183	56897	167	424	313	
184	57064	200	390	263	
185	57263	266	473	363	
186	57530	300	203	475	
187	57830	183	243	424	
188	58013	200	548	365	
189	58213	466	719	375	
190	58679	250	770	211	
191	58929	233	769	130	
192	59162	266	501	311	
193	59612	100	884	109	
194	59712	167	954	305	
195	59878	200	998	497	
196	60078	216	1105	560	
197	60295	283	908	370	
198	60578	333	914	306	
199	60911	200	1013	405	
200	61111	166	1081	496	
201	61277	267	1117	610	
202	61544	450	1149	523	
203	61994	233	1056	530	
204	62227	216	989	453	
205	62443	183	702	455	
206	62626	116	450	439	
207	62743	550	1175	461	
208	63293	183	775	529	
209	64042	100	554	536	
210	64142	183	707	542	
211	64942	16	573	239	
212	65308	117	639	464	
213	65425	183	419	293	
214	65608	117	226	284	
215	65724	167	205	239	
216	65891	216	363	124	
217	66107	200	398	110	
218	66307	216	417	188	
219	66524	500	415	826	
220	67023	300	424	269	
221	67323	250	459	173	
222	67573	166	504	362	
223	67739	133	546	628	
224	67873	200	568	396	
225	68073	167	755	451	
