System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 07				
Recording date:	 2021/9/22				
Recording time:	 18:01:38				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/22				
Export time:	 19:05:39				
Participant:	 P11				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	2912.jpg
9991	ImageEnd	16	0	0	2912.jpg
10163	InstructionStart	2048	0	0	Instruction Element
12885	KeyPress	4	32	0	Space
12887	InstructionEnd	4096	0	0	Instruction Element
12921	ImageStart	8	0	0	2748.jpg
22903	ImageEnd	16	0	0	2748.jpg
23081	InstructionStart	2048	0	0	Instruction Element
25712	KeyPress	4	32	0	Space
25720	InstructionEnd	4096	0	0	Instruction Element
25760	ImageStart	8	0	0	2990.jpg
35733	ImageEnd	16	0	0	2990.jpg
35757	InstructionStart	2048	0	0	Instruction Element
38088	KeyPress	4	32	0	Space
38103	InstructionEnd	4096	0	0	Instruction Element
38147	ImageStart	8	0	0	3013.jpg
48124	ImageEnd	16	0	0	3013.jpg
48145	InstructionStart	2048	0	0	Instruction Element
50378	KeyPress	4	32	0	Space
50380	InstructionEnd	4096	0	0	Instruction Element
50407	ImageStart	8	0	0	2257.jpg
60401	ImageEnd	16	0	0	2257.jpg
60420	InstructionStart	2048	0	0	Instruction Element
63216	KeyPress	4	32	0	Space
63217	InstructionEnd	4096	0	0	Instruction Element
63246	ImageStart	8	0	0	2972.jpg
73216	ImageEnd	16	0	0	2972.jpg
73237	InstructionStart	2048	0	0	Instruction Element
75400	KeyPress	4	32	0	Space
75403	InstructionEnd	4096	0	0	Instruction Element
75440	ImageStart	8	0	0	2153.jpg
85421	ImageEnd	16	0	0	2153.jpg
85505	InstructionStart	2048	0	0	Instruction Element
87787	KeyPress	4	32	0	Space
87790	InstructionEnd	4096	0	0	Instruction Element
87824	ImageStart	8	0	0	2724.jpg
97793	ImageEnd	16	0	0	2724.jpg
97816	InstructionStart	2048	0	0	Instruction Element
99594	KeyPress	4	32	0	Space
99596	InstructionEnd	4096	0	0	Instruction Element
99632	ImageStart	8	0	0	2281.jpg
109612	ImageEnd	16	0	0	2281.jpg
109758	InstructionStart	2048	0	0	Instruction Element
111648	KeyPress	4	32	0	Space
111655	InstructionEnd	4096	0	0	Instruction Element
111683	ImageStart	8	0	0	2939.jpg
121655	ImageEnd	16	0	0	2939.jpg
121754	InstructionStart	2048	0	0	Instruction Element
123414	KeyPress	4	32	0	Space
123420	InstructionEnd	4096	0	0	Instruction Element
123451	ImageStart	8	0	0	2114.jpg
133437	ImageEnd	16	0	0	2114.jpg
133456	InstructionStart	2048	0	0	Instruction Element
135489	KeyPress	4	32	0	Space
135495	InstructionEnd	4096	0	0	Instruction Element
135529	ImageStart	8	0	0	2840.jpg
145520	ImageEnd	16	0	0	2840.jpg
145616	InstructionStart	2048	0	0	Instruction Element
147790	KeyPress	4	32	0	Space
147792	InstructionEnd	4096	0	0	Instruction Element
147826	ImageStart	8	0	0	2686.jpg
157813	ImageEnd	16	0	0	2686.jpg
157829	InstructionStart	2048	0	0	Instruction Element
159973	KeyPress	4	32	0	Space
159976	InstructionEnd	4096	0	0	Instruction Element
160011	ImageStart	8	0	0	2140.jpg
169987	ImageEnd	16	0	0	2140.jpg
170052	InstructionStart	2048	0	0	Instruction Element
171684	KeyPress	4	32	0	Space
171686	InstructionEnd	4096	0	0	Instruction Element
171734	ImageStart	8	0	0	2684.jpg
181712	ImageEnd	16	0	0	2684.jpg
181804	InstructionStart	2048	0	0	Instruction Element
183299	KeyPress	4	32	0	Space
183301	InstructionEnd	4096	0	0	Instruction Element
183337	ImageStart	8	0	0	2863.jpg
193316	ImageEnd	16	0	0	2863.jpg
193338	InstructionStart	2048	0	0	Instruction Element
195267	KeyPress	4	32	0	Space
195280	InstructionEnd	4096	0	0	Instruction Element
195310	ImageStart	8	0	0	3028.jpg
205304	ImageEnd	16	0	0	3028.jpg
205327	InstructionStart	2048	0	0	Instruction Element
207246	KeyPress	4	32	0	Space
207247	InstructionEnd	4096	0	0	Instruction Element
207277	ImageStart	8	0	0	2889.jpg
217257	ImageEnd	16	0	0	2889.jpg
217277	InstructionStart	2048	0	0	Instruction Element
218625	KeyPress	4	32	0	Space
218626	InstructionEnd	4096	0	0	Instruction Element
218653	ImageStart	8	0	0	5488.jpg
228638	ImageEnd	16	0	0	5488.jpg
228755	InstructionStart	2048	0	0	Instruction Element
230314	KeyPress	4	32	0	Space
230316	InstructionEnd	4096	0	0	Instruction Element
230351	ImageStart	8	0	0	2711.jpg
240327	ImageEnd	16	0	0	2711.jpg
240383	InstructionStart	2048	0	0	Instruction Element
242379	KeyPress	4	32	0	Space
242381	InstructionEnd	4096	0	0	Instruction Element
242427	ImageStart	8	0	0	3279.jpg
252396	ImageEnd	16	0	0	3279.jpg
252422	InstructionStart	2048	0	0	Instruction Element
254444	KeyPress	4	32	0	Space
254448	InstructionEnd	4096	0	0	Instruction Element
254476	ImageStart	8	0	0	6531.jpg
264459	ImageEnd	16	0	0	6531.jpg
264483	InstructionStart	2048	0	0	Instruction Element
266187	KeyPress	4	32	0	Space
266202	InstructionEnd	4096	0	0	Instruction Element
266239	ImageStart	8	0	0	5446.jpg
276215	ImageEnd	16	0	0	5446.jpg
276330	InstructionStart	2048	0	0	Instruction Element
277962	KeyPress	4	32	0	Space
277964	InstructionEnd	4096	0	0	Instruction Element
277998	ImageStart	8	0	0	6254.jpg
287989	ImageEnd	16	0	0	6254.jpg
288013	InstructionStart	2048	0	0	Instruction Element
289609	KeyPress	4	32	0	Space
289611	InstructionEnd	4096	0	0	Instruction Element
289645	ImageStart	8	0	0	3517.jpg
299635	ImageEnd	16	0	0	3517.jpg
299655	InstructionStart	2048	0	0	Instruction Element
301513	KeyPress	4	32	0	Space
301516	InstructionEnd	4096	0	0	Instruction Element
301550	ImageStart	8	0	0	5463.jpg
311534	ImageEnd	16	0	0	5463.jpg
311808	InstructionStart	2048	0	0	Instruction Element
313407	KeyPress	4	32	0	Space
313409	InstructionEnd	4096	0	0	Instruction Element
313442	ImageStart	8	0	0	6198.jpg
323426	ImageEnd	16	0	0	6198.jpg
323553	InstructionStart	2048	0	0	Instruction Element
325311	KeyPress	4	32	0	Space
325324	InstructionEnd	4096	0	0	Instruction Element
325358	ImageStart	8	0	0	6305.jpg
335349	ImageEnd	16	0	0	6305.jpg
335371	InstructionStart	2048	0	0	Instruction Element
337430	KeyPress	4	32	0	Space
337443	InstructionEnd	4096	0	0	Instruction Element
337470	ImageStart	8	0	0	6450.jpg
347451	ImageEnd	16	0	0	6450.jpg
347470	InstructionStart	2048	0	0	Instruction Element
349108	KeyPress	4	32	0	Space
349110	InstructionEnd	4096	0	0	Instruction Element
349144	ImageStart	8	0	0	1895.jpg
359133	ImageEnd	16	0	0	1895.jpg
359152	InstructionStart	2048	0	0	Instruction Element
361281	KeyPress	4	32	0	Space
361282	InstructionEnd	4096	0	0	Instruction Element
361315	ImageStart	8	0	0	6315.jpg
371297	ImageEnd	16	0	0	6315.jpg
371430	InstructionStart	2048	0	0	Instruction Element
373163	KeyPress	4	32	0	Space
373178	InstructionEnd	4096	0	0	Instruction Element
373213	ImageStart	8	0	0	1689.jpg
383188	ImageEnd	16	0	0	1689.jpg
383351	InstructionStart	2048	0	0	Instruction Element
385261	KeyPress	4	32	0	Space
385263	InstructionEnd	4096	0	0	Instruction Element
385291	ImageStart	8	0	0	5990.jpg
395267	ImageEnd	16	0	0	5990.jpg
395520	InstructionStart	2048	0	0	Instruction Element
397058	KeyPress	4	32	0	Space
397060	InstructionEnd	4096	0	0	Instruction Element
397089	ImageStart	8	0	0	6016.jpg
407081	ImageEnd	16	0	0	6016.jpg
407203	InstructionStart	2048	0	0	Instruction Element
